"recorder","activity_ratio","active_days","median_weekly_devoted_days","periodicity","periodicity_variation","upper_area","upper_n_poly","ratio","status"
"11652",0.21978021978022,20,4,1,13.6619589666716,471,1,0.305732484076433,"Control"
"175522",0.314102564102564,49,2,1,8.61323336988969,730,2,0.258904109589041,"Control"
"477431",0.184019370460048,76,4,1,26.1503498963936,962,1,0.314968814968815,"Control"
"670673",0.239520958083832,40,2,1,8.97368525339657,570,1,0.273684210526316,"Control"
"787970",0.0321782178217822,13,1,5,81.2014330370636,638,2,0.241379310344828,"Control"
"890527",0.12378640776699,51,2,1,31.7394392956574,1891,2,0.187731359069276,"Control"
"899567",0.0588235294117647,24,1,2,48.4710830026098,2301,1,0.319426336375489,"Control"
"1366512",0.0369458128078818,15,2,2,3.42876220470453,1041,2,0.245917387127762,"Control"
"1422314",0.0835380835380835,34,2,2,41.3786483626831,997,2,0.224674022066199,"Control"
"1471889",0.0800970873786408,33,2,2,42.3973269597664,729,1,0.268861454046639,"Control"
"1479221",0.27027027027027,30,4,1,13.3239293602172,726,1,0.323691460055096,"Control"
"1485790",0.0412621359223301,17,2,2,3.30511868528341,1319,3,0.200151630022744,"Control"
"1528643",0.108108108108108,44,2.5,1,35.3313500637704,3298,10,0.124317768344451,"Control"
"1545616",0.0658536585365854,27,1,1,53.1381846384186,610,1,0.304918032786885,"Control"
"1594051",0.136645962732919,22,2,1,13.9603762579365,3009,3,0.246925888999668,"Control"
"1711969",0.11965811965812,14,1,4,16.570362792556,1010,2,0.188118811881188,"Control"
"1731739",0.097323600973236,40,1.5,2,36.9359620371177,679,2,0.234167893961708,"Control"
"1760114",0.165354330708661,21,3,1,17.0789361050252,722,1,0.261772853185596,"Control"
"1776852",0.0279898218829517,11,2,2,1.80277563773199,641,1,0.305772230889236,"Control"
"1876784",0.166666666666667,16,3,1,16.0297342757883,472,1,0.305084745762712,"Control"
"1916538",0.461538461538462,12,2,1,1.67874411932904,1143,2,0.184601924759405,"Control"
"1959201",0.0743589743589744,29,1,3,43.8410428370156,1223,2,0.233851185609158,"Control"
"2032730",0.083743842364532,34,1,1,42.8184346604847,1727,2,0.236247828604517,"Control"
"2062545",0.104761904761905,11,2,1.5,25.9323907283707,987,2,0.263424518743668,"Control"
"2298616",0.0838323353293413,14,1,2.5,10.7036527325106,1592,3,0.205402010050251,"Control"
"2329716",0.198795180722892,33,2.5,2,12.0913192001535,554,1,0.285198555956679,"Control"
"2329735",0.103225806451613,16,3,1,1.23145585242976,472,1,0.305084745762712,"Control"
"2329740",0.117647058823529,18,2,2,13.9938974794968,696,1,0.290229885057471,"Control"
"2332904",0.175757575757576,29,2,2,12.5023074793293,1059,2,0.237960339943343,"Control"
"2333701",0.0609756097560976,25,2,3,51.57342515112,1066,2,0.293621013133208,"Control"
"2341892",0.109756097560976,18,1.5,2,15.8228474049395,1027,2,0.21811100292113,"Control"
"2345371",0.09375,15,2,4,16.1614450991335,1242,2,0.307568438003221,"Control"
"2361665",0.0759493670886076,30,2,2,45.2241185593583,1411,3,0.195605953224663,"Control"
"2403682",0.0443349753694581,18,2,3,55.6764462467448,1013,2,0.281342546890424,"Control"
"2425589",0.0617283950617284,10,1,1.5,5.81715443445382,470,1,0.304255319148936,"Control"
"2438113",0.32258064516129,40,2,1,8.53025741741695,1614,3,0.184634448574969,"Control"
"2445135",0.142857142857143,22,1,3,12.4371049262828,1762,2,0.234960272417707,"Control"
"2455232",0.087378640776699,36,2.5,1,39.2705320572187,786,1,0.237913486005089,"Control"
"2457002",0.234567901234568,38,2.5,1.5,9.47590930427561,1490,4,0.168456375838926,"Control"
"2477443",0.0346534653465347,14,1.5,3,80.2014036754666,592,1,0.288851351351351,"Control"
"2562574",0.126436781609195,11,1,2,17.5638517668787,472,1,0.305084745762712,"Control"
"2591601",0.0366748166259169,15,1,2,64.493390637316,927,1,0.237324703344121,"Control"
"2602869",0.464285714285714,13,2,2,1.42222616792382,514,1,0.285992217898833,"Control"
"2606942",0.0656934306569343,27,4,1,2.80891438103763,943,2,0.189819724284199,"Control"
"2623190",0.535714285714286,15,2,1,1.43924583425785,497,1,0.305835010060362,"Control"
"2626695",0.0638820638820639,26,3,1,12.0180269185292,713,1,0.262272089761571,"Control"
"2640855",0.0769230769230769,12,2,2,19.3761021191914,529,1,0.298676748582231,"Control"
"2663453",0.625,10,4,1,1,730,1,0.305479452054795,"Control"
"2669321",0.444444444444444,12,3,2,1.43336856898198,477,1,0.30398322851153,"Control"
"2712380",0.392857142857143,11,2,2,2.5407785333546,839,2,0.228843861740167,"Control"
"2719089",0.652173913043478,15,3.5,1,0.937614461876991,538,1,0.299256505576208,"Control"
"2736196",0.136645962732919,22,3,1,15.7463446050521,1461,2,0.260780287474333,"Control"
"2738624",0.592592592592593,16,3,1,1.33452327853522,470,1,0.306382978723404,"Control"
"2827644",0.454545454545455,10,2.5,1,2.34520787991171,879,1,0.343572241183163,"Control"
"2861269",0.0271604938271605,11,1.5,2,2.04803428790742,549,1,0.293260473588342,"Control"
"2909700",0.0302267002518892,12,2,3,3.85861230093008,2042,3,0.302154750244858,"Control"
"3300737",0.0297766749379653,12,1,3,2.87518115371304,908,2,0.191629955947137,"Control"
"4065983",0.555555555555556,15,3,2,0.770328886519643,473,1,0.304439746300211,"Control"
"4242050",0.123486682808717,51,3,1,31.8527516725894,470,1,0.306382978723404,"Control"
"4660910",0.135593220338983,56,2,1,30.4653232206357,659,1,0.254931714719272,"Control"
"4724645",0.0818858560794045,33,3,1,41.3221021855406,490,1,0.302040816326531,"Control"
"4950557",0.032258064516129,13,2,2,4.36098404241311,494,1,0.303643724696356,"Control"
"11652",0.121359223300971,50,2.5,2,32.0717281212106,747,1,0.246318607764391,"Lockdown"
"175522",0.0575,23,2,2,50.0189011893552,678,1,0.271386430678466,"Lockdown"
"477431",0.135593220338983,56,2.5,1,30.351815504225,834,1,0.315347721822542,"Lockdown"
"670673",0.1,41,2.5,1,35.4649282193442,473,1,0.304439746300211,"Lockdown"
"787970",0.0294117647058824,12,1.5,4.5,71.5635692545058,1021,2,0.281096963761019,"Lockdown"
"890527",0.0884520884520884,36,2,1,44.3790290280083,1252,1,0.171725239616613,"Lockdown"
"899567",0.0416666666666667,17,1,5,68.017294719449,1443,1,0.285516285516285,"Lockdown"
"1366512",0.039119804400978,16,1,4,13.5865156163531,938,2,0.23134328358209,"Lockdown"
"1422314",0.0464547677261614,19,2,2,3.51781181986757,609,1,0.297208538587849,"Lockdown"
"1471889",0.0804878048780488,33,2,3,39.679712321191,1533,2,0.314416177429876,"Lockdown"
"1479221",0.087378640776699,36,2,2,38.7028074999463,725,1,0.311724137931034,"Lockdown"
"1485790",0.0682926829268293,28,2,1,45.4005082994249,953,1,0.227701993704092,"Lockdown"
"1528643",0.152542372881356,63,3,1,28.5611222629299,1817,6,0.19537699504678,"Lockdown"
"1545616",0.0637254901960784,26,2,1.5,49.0161168407385,659,1,0.301972685887709,"Lockdown"
"1594051",0.0682926829268293,28,3,2,50.6453733933698,2123,5,0.217145548751766,"Lockdown"
"1711969",0.0272277227722772,11,1,6,75.24866185595,636,1,0.297169811320755,"Lockdown"
"1731739",0.111650485436893,46,3,1.5,33.9875303585469,641,1,0.262090483619345,"Lockdown"
"1760114",0.097323600973236,40,2,1,38.6817724045637,513,1,0.304093567251462,"Lockdown"
"1776852",0.0249376558603491,10,2.5,2,2,620,1,0.303225806451613,"Lockdown"
"1876784",0.0531645569620253,21,2,1,53.428424000976,525,1,0.281904761904762,"Lockdown"
"1916538",0.0364077669902913,15,2,3,59.882684454155,531,1,0.293785310734463,"Lockdown"
"1959201",0.0510948905109489,21,1,6,51.8189606067371,968,2,0.295454545454545,"Lockdown"
"2032730",0.150121065375303,62,3,1,28.7137194319339,2435,3,0.147022587268994,"Lockdown"
"2062545",0.0342298288508557,14,2,1.5,4.33711955802536,966,2,0.243271221532091,"Lockdown"
"2298616",0.0341463414634146,14,3,1.5,3.72847356856866,899,2,0.222469410456062,"Lockdown"
"2329716",0.0512195121951219,21,1,3,51.4384887866563,479,1,0.302713987473904,"Lockdown"
"2329735",0.0292682926829268,12,1,4,28.809913417279,753,2,0.219123505976096,"Lockdown"
"2329740",0.0576441102756892,23,2,2,48.0894008716107,1391,3,0.186915887850467,"Lockdown"
"2332904",0.0509708737864078,21,1,3,54.0640728821663,902,2,0.251662971175166,"Lockdown"
"2333701",0.0294117647058824,12,1,4,83.2770476582033,891,1,0.353535353535354,"Lockdown"
"2341892",0.0248138957816377,10,1,2,76.9057865183108,523,1,0.30019120458891,"Lockdown"
"2345371",0.0853658536585366,35,2,2,39.7758873203504,1806,2,0.257475083056478,"Lockdown"
"2361665",0.026634382566586,11,3,3,30.3003483661675,1563,3,0.27447216890595,"Lockdown"
"2403682",0.100244498777506,41,2,2,35.3453751792042,1116,5,0.146953405017921,"Lockdown"
"2425589",0.482758620689655,14,3,1,1.99357943768463,470,1,0.304255319148936,"Lockdown"
"2438113",0.12590799031477,52,3,1,31.8875639504475,1580,2,0.286075949367089,"Lockdown"
"2445135",0.0609756097560976,25,2,3,48.0770544236576,2834,2,0.294989414255469,"Lockdown"
"2455232",0.0895883777239709,37,2,1,44.3933525192586,1291,1,0.276529821843532,"Lockdown"
"2457002",0.142857142857143,59,3,2,29.6278927714272,2567,7,0.15309700038956,"Lockdown"
"2477443",0.0608272506082725,25,2,2,54.3481675878599,1068,2,0.2687265917603,"Lockdown"
"2562574",0.0266990291262136,11,2,4,27.0693553672783,667,2,0.233883058470765,"Lockdown"
"2591601",0.075609756097561,31,3,1,40.5452979057499,514,1,0.299610894941634,"Lockdown"
"2602869",0.0279187817258883,11,1.5,2,5.15859584684739,472,1,0.305084745762712,"Lockdown"
"2606942",0.136585365853659,56,3,2,30.4393865635885,1110,3,0.171171171171171,"Lockdown"
"2623190",0.0290556900726392,12,2,2,2.60128173535022,657,1,0.255707762557078,"Lockdown"
"2626695",0.0591133004926108,24,3,1,46.0758127381441,833,1,0.282112845138055,"Lockdown"
"2640855",0.0560975609756098,23,2,2,48.8060788563611,622,1,0.316720257234727,"Lockdown"
"2663453",0.434782608695652,10,2.5,1,2.65099562009781,677,1,0.329394387001477,"Lockdown"
"2669321",0.0286458333333333,11,1.5,3,75.4698247277973,726,2,0.223140495867769,"Lockdown"
"2712380",0.0466830466830467,19,1,4,14.726426825908,1288,4,0.157608695652174,"Lockdown"
"2719089",0.0411311053984576,16,2,4,58.8406303519922,753,1,0.274900398406374,"Lockdown"
"2736196",0.0958230958230958,39,3,1,10.6388996698994,1572,1,0.312977099236641,"Lockdown"
"2738624",0.0509708737864078,21,1,4,55.1567145313672,471,1,0.305732484076433,"Lockdown"
"2827644",0.041343669250646,16,2,2.5,58.931325276979,1413,2,0.302901627742392,"Lockdown"
"2861269",0.392857142857143,11,3,3,1.49443411809733,498,1,0.305220883534137,"Lockdown"
"2909700",0.0276381909547739,11,1,9,86.5916341866298,1058,3,0.224952741020794,"Lockdown"
"3300737",0.0707317073170732,29,2.5,2,10.4849641360604,1202,2,0.217970049916805,"Lockdown"
"4065983",0.041871921182266,17,2,2,3.39046281431283,1388,2,0.287463976945245,"Lockdown"
"4242050",0.159806295399516,66,3,1,27.8764947282354,477,1,0.30398322851153,"Lockdown"
"4660910",0.145631067961165,60,3,1,29.7751606811352,835,2,0.229940119760479,"Lockdown"
"4724645",0.0485436893203883,20,1.5,3,15.876566362949,683,2,0.263543191800878,"Lockdown"
"4950557",0.0316301703163017,13,2,2,4.44563115469967,513,1,0.304093567251462,"Lockdown"
