"recorder","activity_ratio","active_days","median_weekly_devoted_days","periodicity","periodicity_variation","upper_area","upper_n_poly","ratio","status"
"63000",0.441860465116279,19,2,2,1.57181049598675,1144,2,0.257867132867133,"Control"
"73671",0.0569105691056911,14,2.5,4,52.1693494845491,1945,3,0.224678663239075,"Control"
"379964",0.0476190476190476,12,1,3,56.108498789075,1249,2,0.269815852682146,"Control"
"396881",0.104347826086957,24,3,1,36.3524142762955,612,1,0.312091503267974,"Control"
"450053",0.0595744680851064,14,3,2,54.2755316264459,1863,4,0.252818035426731,"Control"
"488776",0.084,21,2,2,39.83185051927,2234,4,0.243061772605192,"Control"
"546725",0.432432432432432,16,2.5,2,1.95667356208731,1983,4,0.21583459404942,"Control"
"587819",0.11336032388664,28,3,2,34.6336134338763,2859,8,0.153899965022735,"Control"
"677127",0.24390243902439,10,1.5,3,4.15665463777998,1546,2,0.186934023285899,"Control"
"816573",0.0661157024793388,16,2,3,46.0798478833468,663,2,0.236802413273001,"Control"
"886482",0.0846774193548387,21,2,1.5,43.5397882160069,895,2,0.23463687150838,"Control"
"1006787",0.162790697674419,42,3,1,28.4728154475843,1639,3,0.153142159853569,"Control"
"1096943",0.169491525423729,40,5,1,28.9277568212582,1258,2,0.281399046104928,"Control"
"1226913",0.047808764940239,12,1,3,57.9915354324938,1969,3,0.266124936515998,"Control"
"1263313",0.1440329218107,35,3.5,1,30.2782697414883,11579,9,0.34372571033768,"Control"
"1394931",0.264591439688716,68,6,1,21.3661622687599,2037,4,0.200785468826706,"Control"
"1404909",0.0703125,18,2,3,45.7547811709334,2583,3,0.21641502129307,"Control"
"1481279",0.0555555555555556,14,2,3,51.2987729147989,923,2,0.231852654387866,"Control"
"1484582",0.0557768924302789,14,1,6,47.332430471707,1280,4,0.18203125,"Control"
"1530275",0.152610441767068,38,3,1,29.4843318700937,667,1,0.272863568215892,"Control"
"2283012",0.0663900414937759,16,1.5,3,45.1521238228534,2388,3,0.222780569514238,"Control"
"2329473",0.0714285714285714,17,3,2,51.789598376508,2627,4,0.258469737342977,"Control"
"3000799",0.0466101694915254,11,2.5,2,61.205028842045,1278,3,0.221439749608764,"Control"
"4738061",0.0632411067193676,16,2,3,54.0386105351667,993,2,0.245720040281974,"Control"
"63000",0.10077519379845,26,3,2,37.5194616166064,661,1,0.245083207261725,"Lockdown"
"73671",0.0806451612903226,20,2,3,41.4474231875624,1596,4,0.137844611528822,"Lockdown"
"379964",0.126637554585153,29,3,1,32.9215839204417,835,2,0.198802395209581,"Lockdown"
"396881",0.538461538461538,28,3,1,1.36813554584145,555,1,0.304504504504505,"Lockdown"
"450053",0.118577075098814,30,2,2,32.8243196516109,2264,2,0.254416961130742,"Lockdown"
"488776",0.0711297071129707,17,2,4,44.6361213966148,1250,3,0.1824,"Lockdown"
"546725",0.0692640692640693,16,2,1,49.472455058586,497,1,0.291750503018109,"Lockdown"
"587819",0.134453781512605,32,4,1,33.4968141640333,1614,3,0.19454770755886,"Lockdown"
"677127",0.0551181102362205,14,1,2,49.6296540800212,1746,4,0.18213058419244,"Lockdown"
"816573",0.184873949579832,44,4.5,1,26.654198358682,506,1,0.292490118577075,"Lockdown"
"886482",0.133891213389121,32,4,1,32.929608861706,491,1,0.303462321792261,"Lockdown"
"1006787",0.158102766798419,40,3.5,1,27.9499987325545,654,1,0.299694189602446,"Lockdown"
"1096943",0.195833333333333,47,4.5,1,26.0602887041375,760,1,0.244736842105263,"Lockdown"
"1226913",0.1699604743083,43,3.5,1,26.9271827477682,1345,2,0.214869888475836,"Lockdown"
"1263313",0.248062015503876,64,6,1,22.0368471394716,15649,6,0.345325579909259,"Lockdown"
"1394931",0.0472103004291846,11,2,3.5,55.6532918064052,890,2,0.235955056179775,"Lockdown"
"1404909",0.156378600823045,38,4.5,1,29.5038552985449,646,1,0.263157894736842,"Lockdown"
"1481279",0.12015503875969,31,2,2,32.2422760954634,2449,4,0.250306247447938,"Lockdown"
"1484582",0.75,39,5,1,0.745302978097324,574,1,0.277003484320557,"Lockdown"
"1530275",0.12890625,33,3,2,31.1422173522199,531,1,0.297551789077213,"Lockdown"
"2283012",0.3,12,2,3,2.423371055519,663,1,0.327300150829563,"Lockdown"
"2329473",0.0833333333333333,20,1.5,2,42.0968668528955,773,1,0.272962483829237,"Lockdown"
"3000799",0.0436681222707424,10,1,9,57.7299748830709,879,2,0.233219567690557,"Lockdown"
"4738061",0.318181818181818,14,2,3,2.25035609717719,736,1,0.3125,"Lockdown"
