"recorder","activity_ratio","active_days","median_weekly_devoted_days","periodicity","periodicity_variation","upper_area","upper_n_poly","ratio","status"
"185971",0.0753138075313808,18,3,2,47.5157868502669,2650,5,0.247169811320755,"Control"
"186163",0.0975609756097561,24,2,2,39.5963826351166,1684,2,0.275534441805226,"Control"
"237902",0.525,21,3.5,1,1.8771478925557,1204,3,0.183554817275748,"Control"
"577097",0.0798319327731092,19,2.5,2,46.4013818252659,1837,4,0.255307566684812,"Control"
"675914",0.102459016393443,25,3,2,38.5693193005055,1404,3,0.185897435897436,"Control"
"1436169",0.122448979591837,30,3,1,35.1390271852693,2422,2,0.242361684558216,"Control"
"1492449",0.0819672131147541,20,2,1,44.6574355478189,702,1,0.245014245014245,"Control"
"1518872",0.0897435897435897,21,2,2,42.2352746060995,497,1,0.305835010060362,"Control"
"1574271",0.121212121212121,28,3.5,1,36.2961858245891,473,1,0.304439746300211,"Control"
"2283905",0.04149377593361,10,1,2,66.496240495234,490,1,0.304081632653061,"Control"
"185971",0.0901639344262295,22,3,2,42.5212551891068,712,2,0.240168539325843,"Lockdown"
"186163",0.176706827309237,44,6,1,28.9332871482808,1121,1,0.217662801070473,"Lockdown"
"237902",0.0543933054393305,13,2,3,56.5923755438572,519,1,0.304431599229287,"Lockdown"
"577097",0.0978723404255319,23,4,1.5,41.4195093835714,522,1,0.289272030651341,"Lockdown"
"675914",0.13469387755102,33,4,1,33.3047996153611,488,1,0.305327868852459,"Lockdown"
"1436169",0.1440329218107,35,5,1,32.3604366621121,2091,2,0.26207556193209,"Lockdown"
"1492449",0.0688259109311741,17,2,3,47.9803779337623,699,1,0.273247496423462,"Lockdown"
"1518872",0.294117647058824,10,1.5,3,2.73861278752583,490,1,0.306122448979592,"Lockdown"
"1574271",0.439024390243902,18,3,2,1.72992689406909,470,1,0.304255319148936,"Lockdown"
"2283905",0.675675675675676,25,4.5,1,0.978019293843651,748,2,0.211229946524064,"Lockdown"
