"recorder","activity_ratio","active_days","median_weekly_devoted_days","periodicity","periodicity_variation","upper_area","upper_n_poly","ratio","status"
"5643",0.338461538461538,22,1,2,2.66112362496905,1773,4,0.241398759165257,"Control"
"26480",0.161764705882353,11,1,6,5.52268050859363,2022,3,0.299208704253215,"Control"
"32124",0.866666666666667,65,6,1,0.434672396369839,4431,6,0.201534642292936,"Control"
"81948",0.212121212121212,14,1,4,3.94181161242883,533,1,0.305816135084428,"Control"
"132154",0.986666666666667,74,7,1,0.117851130197758,1086,3,0.160220994475138,"Control"
"213733",0.327586206896552,19,2,1,2.39177512222494,2078,4,0.265158806544755,"Control"
"252034",0.266666666666667,16,2,2.5,2.84489131486716,493,1,0.306288032454361,"Control"
"264808",0.291666666666667,14,1.5,1,4.56933122883293,1479,3,0.289384719405003,"Control"
"464262",0.442857142857143,31,2,2,1.85363442758625,3731,5,0.225676762262128,"Control"
"790453",0.945945945945946,70,7,1,0.293326415966539,2978,5,0.210208193418402,"Control"
"898887",0.314285714285714,22,2,2.5,1.69441808051583,890,2,0.212359550561798,"Control"
"975480",0.555555555555556,35,3,1,1.34065226097168,1239,2,0.214689265536723,"Control"
"989581",0.260869565217391,18,2,1.5,4.6935239071157,1412,2,0.308073654390935,"Control"
"999066",1,75,7,1,0,1862,2,0.183673469387755,"Control"
"1032700",0.318181818181818,21,2,2,2.47324868630865,2700,3,0.241481481481481,"Control"
"1167568",0.173913043478261,12,2,4.5,5.19508314552221,1291,4,0.186676994577847,"Control"
"1240724",0.151515151515152,10,1,4.5,12.3685950235725,559,1,0.305903398926655,"Control"
"1243785",0.582089552238806,39,2.5,1,1.17978468030904,2198,3,0.25614194722475,"Control"
"1361533",0.394366197183099,28,3,1,2.79917570284264,2318,5,0.2053494391717,"Control"
"1365773",0.470588235294118,32,3,2,1.08065539926196,1258,2,0.284578696343402,"Control"
"1386107",0.333333333333333,16,2,3,2.09988661825438,482,1,0.302904564315353,"Control"
"1409524",0.260869565217391,18,1,3.5,2.46221445044903,485,1,0.305154639175258,"Control"
"1436680",0.333333333333333,25,3,2,2.56612163335142,475,1,0.305263157894737,"Control"
"1501500",0.220338983050847,13,1,7,3.48764051525331,1114,2,0.214542190305206,"Control"
"1508203",0.260869565217391,18,2,1.5,6.68549424749833,1375,3,0.242909090909091,"Control"
"1584261",0.157142857142857,11,1,4,4.55521678957215,500,1,0.306,"Control"
"1646050",0.472222222222222,34,3,1.5,2.07033579947328,721,2,0.226074895977809,"Control"
"1748231",0.4,22,2,1,2.5833474815685,2006,3,0.244267198404786,"Control"
"1786534",0.208955223880597,14,1,5,4.23101821687347,2161,4,0.2776492364646,"Control"
"1859910",0.484848484848485,32,2,1,2.04658392134953,1232,1,0.19237012987013,"Control"
"1859961",0.448275862068966,13,3,2,1.23091490979333,675,1,0.272592592592593,"Control"
"1882892",0.217391304347826,10,1.5,5,4.21307488658818,1185,2,0.272573839662447,"Control"
"1908828",0.428571428571429,30,2,1,2.83403352692695,611,1,0.309328968903437,"Control"
"1922575",0.255813953488372,11,2,2.5,4.96207841758091,1071,2,0.23155929038282,"Control"
"1944404",0.849315068493151,62,6,1,0.536519437993287,528,1,0.287878787878788,"Control"
"1952440",0.626666666666667,47,4.5,1,1.73583735215351,923,2,0.249187432286024,"Control"
"1972099",0.196428571428571,11,2,4,4.55826477705911,1484,2,0.335579514824798,"Control"
"1985181",0.402777777777778,29,2,2,2.31001782161574,479,1,0.304801670146138,"Control"
"1992254",0.608108108108108,45,4,1,1.74193283770477,1873,4,0.127602776294714,"Control"
"2016134",0.364864864864865,27,3,2,2.85773803324704,1353,3,0.174427198817443,"Control"
"2353614",0.357142857142857,15,2,1.5,2.84102597162162,1977,3,0.281234193222054,"Control"
"2416661",0.583333333333333,42,3.5,2,0.898717034272917,533,1,0.300187617260788,"Control"
"2441392",0.514285714285714,36,3.5,1,2.03468147353639,1008,2,0.181547619047619,"Control"
"2497641",0.294117647058824,15,3,1,4.63957336676995,2726,3,0.309611151870873,"Control"
"5643",0.388888888888889,28,2,1.5,2.44854745009865,3348,3,0.329151732377539,"Lockdown"
"26480",0.375,27,2,2,2.70061721340388,1679,2,0.307921381774866,"Lockdown"
"32124",0.552238805970149,37,4,1,2.13021480749018,2215,1,0.286681715575621,"Lockdown"
"81948",0.373134328358209,25,3,1,2.44464406099952,1248,2,0.240384615384615,"Lockdown"
"132154",1,75,7,1,0,799,2,0.214017521902378,"Lockdown"
"213733",0.324324324324324,24,2,2.5,2.28111008139967,2796,4,0.265021459227468,"Lockdown"
"252034",0.261904761904762,11,3,2,4.653553003411,588,1,0.307823129251701,"Lockdown"
"264808",0.232558139534884,10,1,5,4.21307488658818,3225,2,0.324961240310078,"Lockdown"
"464262",0.569230769230769,37,3,1,1.71155244287339,3178,4,0.225928256765261,"Lockdown"
"790453",0.339285714285714,19,2,2,2.1549456720932,4027,9,0.186491184504594,"Lockdown"
"898887",0.26027397260274,19,2,1,7.41619848709566,528,1,0.293560606060606,"Lockdown"
"975480",0.371428571428571,26,2,2,2.08470969028151,2392,5,0.247491638795987,"Lockdown"
"989581",0.211538461538462,11,1,2,3.08220700148449,737,2,0.226594301221167,"Lockdown"
"999066",1,75,7,1,0,550,1,0.301818181818182,"Lockdown"
"1032700",0.402777777777778,29,2,1,2.00640001635791,3042,2,0.303747534516765,"Lockdown"
"1167568",0.225352112676056,16,1,3,5.25451140543915,2103,5,0.211602472658107,"Lockdown"
"1240724",0.459459459459459,34,3,1,2.12511859251621,1086,1,0.338858195211786,"Lockdown"
"1243785",0.214285714285714,15,2,1,4.58956452880909,1699,3,0.24131842260153,"Lockdown"
"1361533",0.424657534246575,31,2,2,1.95642178655231,2172,2,0.291896869244936,"Lockdown"
"1365773",0.306666666666667,23,2,2,3.93155730686237,1024,1,0.296875,"Lockdown"
"1386107",0.295774647887324,21,3,1,3.20361637758594,822,2,0.214111922141119,"Lockdown"
"1409524",0.453333333333333,34,3,2,1.70388550274119,477,1,0.30398322851153,"Lockdown"
"1436680",0.150684931506849,11,2,4,4.41588043316392,1191,3,0.185558354324097,"Lockdown"
"1501500",0.271428571428571,19,2,2,2.69394746444256,768,1,0.264322916666667,"Lockdown"
"1508203",0.635135135135135,47,4,1,1.1963749961083,3248,3,0.246305418719212,"Lockdown"
"1584261",0.180555555555556,13,1,2,4.22976466140955,556,1,0.300359712230216,"Lockdown"
"1646050",0.594594594594595,44,4,1,1.06059173105242,500,1,0.298,"Lockdown"
"1748231",0.225806451612903,14,1,3,3.67938565359474,1744,2,0.297591743119266,"Lockdown"
"1786534",0.294117647058824,15,1,1,5.95772653740548,1172,3,0.197098976109215,"Lockdown"
"1859910",0.493150684931507,36,3,1,1.83183377337083,3093,6,0.121564823795668,"Lockdown"
"1859961",0.151515151515152,10,2,2.5,7.07990112925315,548,1,0.299270072992701,"Lockdown"
"1882892",0.30188679245283,16,2.5,1,5.82931834616642,955,2,0.283769633507853,"Lockdown"
"1908828",0.153846153846154,10,1,4,7.80910640580232,636,1,0.292452830188679,"Lockdown"
"1922575",0.4,30,2,1,2.72626845386504,1371,2,0.292487235594457,"Lockdown"
"1944404",0.608108108108108,45,4,1,1.34559697875548,544,1,0.286764705882353,"Lockdown"
"1952440",0.52,39,3.5,1,2.62981290511624,684,1,0.293859649122807,"Lockdown"
"1972099",0.208955223880597,14,2,3,4.73782330790941,1498,2,0.2630173564753,"Lockdown"
"1985181",0.402777777777778,29,2,2,1.92893694059648,525,1,0.295238095238095,"Lockdown"
"1992254",0.34375,22,2,2,3.07622461708128,742,1,0.265498652291105,"Lockdown"
