"recorder","activity_ratio","active_days","median_weekly_devoted_days","periodicity","periodicity_variation","upper_area","upper_n_poly","ratio","status"
"17565",0.26,13,1,2.5,3.75277674973257,2648,5,0.253021148036254,"Control"
"39349",0.450980392156863,23,3,2,1.38639024883974,3775,8,0.226490066225166,"Control"
"145644",0.25,12,2,5,3.34935543324112,1580,2,0.220886075949367,"Control"
"169494",0.272727272727273,12,2,2,4.30010570694595,2847,4,0.266596417281349,"Control"
"171012",0.886792452830189,47,6,1,0.340502612303499,1120,1,0.330357142857143,"Control"
"330624",0.4,18,2,2,1.80481382451944,919,1,0.206746463547334,"Control"
"548902",0.254901960784314,13,2,4,3.6139460511477,1084,1,0.237084870848708,"Control"
"678636",0.697674418604651,30,5,1,0.909717652294684,2360,3,0.248305084745763,"Control"
"688548",0.5,19,3,1,2.1549456720932,3568,6,0.24859865470852,"Control"
"1164493",0.627450980392157,32,4,1,1.05443252841955,4029,6,0.212211466865227,"Control"
"1168016",0.411764705882353,21,2.5,1,1.96012888942485,591,1,0.267343485617597,"Control"
"1330319",0.547169811320755,29,3.5,1,2.22301573134311,2784,6,0.216235632183908,"Control"
"1342851",0.431372549019608,22,3,2,1.71686314178476,1274,4,0.184458398744113,"Control"
"1382897",0.317073170731707,13,2,3,1.55699788832305,1658,1,0.331121833534379,"Control"
"1412226",0.382978723404255,18,2,2,2.61640750558741,3064,4,0.227480417754569,"Control"
"1437864",0.78,39,5.5,1,0.611064411911689,516,1,0.284883720930233,"Control"
"1641897",0.434782608695652,20,3,1,2.16565428439817,2935,7,0.219420783645656,"Control"
"1654232",0.424242424242424,14,3,1,2.93301280300037,570,1,0.275438596491228,"Control"
"1936760",0.294117647058824,15,1.5,1.5,3.52385902351136,4364,6,0.236709440879927,"Control"
"1941562",0.470588235294118,16,3,2,1.14642300844222,2098,2,0.232125834127741,"Control"
"2052606",0.421052631578947,16,2,1,2.32583830253176,661,1,0.255673222390318,"Control"
"2489070",0.510204081632653,25,3,1,1.50361882311222,1002,2,0.209580838323353,"Control"
"2568932",0.884615384615385,46,6,1,0.404519917477945,476,1,0.304621848739496,"Control"
"4015844",0.448979591836735,22,3,2,1.30930734141595,471,1,0.305732484076433,"Control"
"17565",0.302325581395349,13,2,2,3,875,2,0.190857142857143,"Lockdown"
"39349",0.641509433962264,34,4.5,1,1.06155260792574,506,1,0.302371541501976,"Lockdown"
"145644",0.448275862068966,13,2.5,1,2.99494523651051,516,1,0.292635658914729,"Lockdown"
"169494",0.268292682926829,11,2,2.5,4.29469957557504,1387,2,0.259552992069214,"Lockdown"
"171012",0.980769230769231,51,7,1,0.14142135623731,1005,1,0.350248756218905,"Lockdown"
"330624",0.4,20,2,2,2.06332497234936,473,1,0.304439746300211,"Lockdown"
"548902",0.529411764705882,27,3.5,2,1.29377206410022,474,1,0.305907172995781,"Lockdown"
"678636",0.843137254901961,43,5.5,1,0.454682694939907,484,1,0.305785123966942,"Lockdown"
"688548",0.431372549019608,22,2,1,2.29076822215148,1806,3,0.266334440753045,"Lockdown"
"1164493",0.72,36,4.5,1,0.735646974158282,1051,2,0.189343482397716,"Lockdown"
"1168016",0.72,36,4.5,1,0.694516336148021,476,1,0.304621848739496,"Lockdown"
"1330319",0.333333333333333,16,2.5,2,4.12079511513887,473,1,0.304439746300211,"Lockdown"
"1342851",0.811320754716981,43,5,1,0.576343554789592,502,1,0.292828685258964,"Lockdown"
"1382897",0.224489795918367,11,1,2,6.1427463998877,548,1,0.281021897810219,"Lockdown"
"1412226",0.275,11,1,2,3.41402336775183,471,1,0.305732484076433,"Lockdown"
"1437864",0.735849056603774,39,5,1,0.88290223607358,794,2,0.221662468513854,"Lockdown"
"1641897",0.520833333333333,25,2.5,1,1.96666052565978,472,1,0.305084745762712,"Lockdown"
"1654232",0.6875,11,3,1,0.707106781186548,536,1,0.283582089552239,"Lockdown"
"1936760",0.56,28,3.5,1,1.77670908048987,482,1,0.302904564315353,"Lockdown"
"1941562",0.441860465116279,19,2,2,1.60879933307969,474,1,0.30379746835443,"Lockdown"
"2052606",0.428571428571429,21,2,1,2.32605380758689,508,1,0.30511811023622,"Lockdown"
"2489070",0.583333333333333,28,4,1,1.02253804114275,688,1,0.231104651162791,"Lockdown"
"2568932",0.867924528301887,46,6,1,0.366528899738389,482,1,0.300829875518672,"Lockdown"
"4015844",0.826923076923077,43,5.5,1,0.606296807525267,474,1,0.30379746835443,"Lockdown"
