"recorder","activity_ratio","active_days","median_weekly_devoted_days","periodicity","periodicity_variation","upper_area","upper_n_poly","ratio","status"
"4918",0.053864168618267,23,2.5,2,6.65296210434907,1230,3,0.170731707317073,"Control"
"10058",0.0596658711217184,25,2,2,6.49444883055123,788,2,0.219543147208122,"Control"
"11590",0.0602094240837696,23,2,1,6.85183326180804,1043,2,0.285714285714286,"Control"
"45175",0.0458937198067633,19,1,5,47.3890344724947,1075,2,0.291162790697674,"Control"
"55812",0.189873417721519,15,2,3,8.57289364768428,1521,4,0.178829717291256,"Control"
"71741",0.0384615384615385,16,1,6.5,48.0663460892715,993,3,0.186304128902316,"Control"
"166761",0.0332541567695962,14,1,8,49.9787833773371,1070,1,0.244859813084112,"Control"
"175009",0.0964705882352941,41,2.5,1,32.1393935969975,4285,6,0.17806301050175,"Control"
"179313",0.08274231678487,35,2,2,30.4946902978803,3734,6,0.259239421531869,"Control"
"237801",0.0265060240963855,11,1,8,10.5290603147247,1103,2,0.265639165911151,"Control"
"345431",0.0781990521327014,33,1.5,4,32.3014697225461,1809,4,0.161967938087341,"Control"
"364340",0.0341463414634146,14,3,1,0.621581560508061,827,1,0.218863361547763,"Control"
"455673",0.107981220657277,46,2,1,4.9012985292397,2293,2,0.22895769733973,"Control"
"498307",0.0626506024096386,26,2,2.5,7.13724158140275,618,1,0.305825242718447,"Control"
"543698",0.111675126903553,22,1,1.5,8.86432827626965,482,1,0.304979253112033,"Control"
"545290",0.189252336448598,81,4,1,19.7067926380524,868,2,0.190092165898618,"Control"
"549967",0.0645161290322581,26,1.5,2,40.2002235194593,1167,2,0.191088260497001,"Control"
"561051",0.0417754569190601,16,1,3,52.7770034002698,834,2,0.26978417266187,"Control"
"742957",0.0966981132075472,41,2,1,30.7527249925423,632,1,0.254746835443038,"Control"
"743476",0.0380047505938242,16,2,3.5,12.4125512515127,1377,2,0.25998547567175,"Control"
"763358",0.0596658711217184,25,1.5,3,36.7125356885062,5015,5,0.266799601196411,"Control"
"785914",0.170560747663551,73,3,1,22.8789307625383,1442,3,0.163661581137309,"Control"
"786858",0.0554089709762533,21,2,2,7.47275754077154,1982,3,0.269929364278507,"Control"
"846512",0.0516431924882629,22,1.5,3,43.6918335137068,2210,4,0.140723981900452,"Control"
"871523",0.0355450236966825,15,1,1,10.0817173954156,976,2,0.221311475409836,"Control"
"935346",0.0771028037383178,33,2,2,32.2508647879385,497,1,0.295774647887324,"Control"
"942797",0.0242130750605327,10,1,5.5,6.06953752062591,657,1,0.248097412480974,"Control"
"995747",0.0665083135391924,28,2,2.5,6.2496769147262,1075,2,0.232558139534884,"Control"
"1002444",0.0356294536817102,15,2,4,51.9446204119694,1318,3,0.200303490136571,"Control"
"1055524",0.0599520383693046,25,3,2,6.77387448171806,922,2,0.216919739696312,"Control"
"1058950",0.0531400966183575,22,2,2,8.8341442858467,1586,3,0.240226986128625,"Control"
"1073342",0.158163265306122,31,3,2,5.69914867032809,489,1,0.300613496932515,"Control"
