"recorder","activity_ratio","active_days","median_weekly_devoted_days","periodicity","periodicity_variation","upper_area","upper_n_poly","ratio","status"
"396990",0.477611940298507,32,3,2,1.66817136377673,769,1,0.315994798439532,"Control"
"839042",0.390625,25,3,1,3.21426846096129,556,1,0.280575539568345,"Control"
"840257",0.131578947368421,10,1,5,10.0498756211209,481,1,0.303534303534304,"Control"
"884516",0.328125,21,2,2,2.64127162356954,2033,2,0.25971470732907,"Control"
"1103000",0.582278481012658,46,4,1,1.48323969741913,687,1,0.266375545851528,"Control"
"1130231",0.315789473684211,18,3,2,4.07376830898544,471,1,0.305732484076433,"Control"
"1441483",0.293333333333333,22,2,3,2.48231842476036,1687,3,0.168938944872555,"Control"
"1840122",0.402597402597403,31,3,2,1.99539700195282,807,1,0.240396530359356,"Control"
"2215008",0.355263157894737,27,2,2,2.10384263816328,1442,2,0.323855755894591,"Control"
"2546177",0.347222222222222,25,2,2,2.44022747811091,649,1,0.300462249614792,"Control"
"2563268",0.189655172413793,11,1,5,5.61842207978954,624,1,0.254807692307692,"Control"
"2637329",0.265822784810127,21,2,2,6.93503690272123,1446,1,0.249654218533887,"Control"
"2753979",0.245901639344262,15,2,2.5,3.83162089478052,1305,2,0.299616858237548,"Control"
"3860502",0.225352112676056,16,2,4,3.51865775274498,942,1,0.292993630573248,"Control"
"396990",0.208333333333333,15,1,5.5,3.29251565534005,1014,1,0.349112426035503,"Lockdown"
"839042",0.361111111111111,26,2,2,1.88591268797542,642,2,0.238317757009346,"Lockdown"
"840257",0.576923076923077,45,3,1,1.10232312824769,1663,2,0.293445580276609,"Lockdown"
"884516",0.260869565217391,12,1,4,2.73695251893581,1674,2,0.234169653524492,"Lockdown"
"1103000",0.272727272727273,18,1.5,3,2.50587544876155,473,1,0.304439746300211,"Lockdown"
"1130231",0.567567567567568,42,4,1,1.49184776572463,12085,20,0.191642532064543,"Lockdown"
"1441483",0.166666666666667,13,2,3,9.02983271095754,1758,4,0.254835039817975,"Lockdown"
"1840122",0.128205128205128,10,1,7,7.26483157256779,544,1,0.306985294117647,"Lockdown"
"2215008",0.3,21,2,2.5,2.98196332357692,1191,2,0.285474391267842,"Lockdown"
"2546177",0.291139240506329,23,2,2,3.80134403207819,1047,1,0.203438395415473,"Lockdown"
"2563268",0.235294117647059,12,1,3,4.05866077330038,822,1,0.335766423357664,"Lockdown"
"2637329",0.814814814814815,44,5,1,0.527221346049067,779,1,0.31193838254172,"Lockdown"
"2753979",0.438356164383562,32,3,2,1.32632567077104,1619,1,0.229153798641136,"Lockdown"
"3860502",0.397260273972603,29,2,2,1.91347214805329,1005,2,0.266666666666667,"Lockdown"
