"recorder","activity_ratio","active_days","median_weekly_devoted_days","periodicity","periodicity_variation","upper_area","upper_n_poly","ratio","status"
"1288785",0.191729323308271,51,2.5,1,14.5189589870633,754,2,0.240053050397878,"Control"
"1540795",0.181578947368421,69,2,2,13.8214366896658,1092,2,0.198717948717949,"Control"
"1552694",0.0483460559796438,19,1,6,20.426878198618,759,1,0.324110671936759,"Control"
"1642448",0.0545454545454545,21,1,4,24.6329784177836,858,3,0.2004662004662,"Control"
"1680991",0.0904255319148936,34,1,4,19.6626539327075,767,2,0.21251629726206,"Control"
"1931842",0.0579150579150579,15,1,6,23.1286812731703,984,1,0.264227642276423,"Control"
"1955237",0.103448275862069,12,1,4,12.8480631720399,747,1,0.291834002677376,"Control"
"2099437",0.0833333333333333,21,1,4,6.1496921427249,512,1,0.306640625,"Control"
"2275185",0.0562770562770563,13,1,4,15.896254561717,502,1,0.306772908366534,"Control"
"2338838",0.0595238095238095,15,1,3,17.342699639019,786,2,0.227735368956743,"Control"
"2339022",0.0460251046025105,11,1,3,12.619429464124,537,1,0.286778398510242,"Control"
"2506405",0.0868421052631579,33,1.5,2,27.9011311290344,528,1,0.293560606060606,"Control"
"2695422",0.657142857142857,23,4,1,0.670981706320262,913,1,0.351588170865279,"Control"
"2715594",0.323529411764706,11,1,2,2.90784379834192,816,1,0.283088235294118,"Control"
"2719533",0.590909090909091,13,3.5,1,1.21543108701099,554,1,0.306859205776173,"Control"
"2738797",0.291666666666667,14,1.5,1,5.25259398675965,475,1,0.305263157894737,"Control"
"2747834",0.0930232558139535,16,1,3,9.06266341269873,858,1,0.321678321678322,"Control"
"2768367",0.03125,12,1,2.5,3.80642731296539,480,1,0.304166666666667,"Control"
"1288785",0.28009828009828,114,3,1,8.54399903806289,535,1,0.306542056074766,"Lockdown"
"1540795",0.139593908629442,55,2,1,14.2429164019962,553,1,0.301989150090416,"Lockdown"
"1552694",0.0356083086053412,12,1,9,33.6181168089139,773,1,0.347994825355757,"Lockdown"
"1642448",0.0920245398773006,15,1,3,23.6633903732336,860,2,0.230232558139535,"Lockdown"
"1680991",0.0747422680412371,29,1.5,4,23.2747126880709,723,2,0.225449515905947,"Lockdown"
"1931842",0.050251256281407,10,1,9,31.8080178571378,617,1,0.293354943273906,"Lockdown"
"1955237",0.0753424657534247,11,1,5,30.5295849227525,1621,3,0.273904996915484,"Lockdown"
"2099437",0.25531914893617,12,1.5,2,4.60039523993715,522,1,0.308429118773946,"Lockdown"
"2275185",0.244444444444444,11,1,4,2.75680975041804,472,1,0.305084745762712,"Lockdown"
"2338838",0.0296495956873315,11,1,4,42.0082663822782,547,1,0.283363802559415,"Lockdown"
"2339022",0.0546448087431694,20,2,3,4.2287531189674,940,2,0.238297872340426,"Lockdown"
"2506405",0.214814814814815,87,2,1,10.863850574254,1037,1,0.292189006750241,"Lockdown"
"2695422",0.657142857142857,23,4,1,0.670981706320262,913,1,0.351588170865279,"Lockdown"
"2715594",0.323529411764706,11,1,2,2.90784379834192,816,1,0.283088235294118,"Lockdown"
"2719533",0.590909090909091,13,3.5,1,1.21543108701099,554,1,0.306859205776173,"Lockdown"
"2738797",0.115942028985507,16,2,1,23.7181867129926,506,1,0.294466403162055,"Lockdown"
"2747834",0.384615384615385,10,2.5,2,2.22361067735439,807,1,0.319702602230483,"Lockdown"
"2768367",0.0666666666666667,14,1,3,31.5131230295717,479,1,0.304801670146138,"Lockdown"
