"recorder","activity_ratio","active_days","median_weekly_devoted_days","periodicity","periodicity_variation","upper_area","upper_n_poly","ratio","status"
"20518",0.0617886178861789,38,1,4.5,39.9810570224815,7389,7,0.262823115441873,"Control"
"28778",0.0706521739130435,13,2,2.5,26.4991423531884,2292,3,0.24912739965096,"Control"
"29474",0.0996732026143791,61,2,2,29.0600358032878,11871,12,0.225170583775588,"Control"
"30467",0.209486166007905,53,3,2,9.37355479056717,5057,9,0.199525410322325,"Control"
"30480",0.101777059773829,63,2,2,34.2853184338324,5476,12,0.0787070854638422,"Control"
"30586",0.0634146341463415,39,2,4,41.2345703238168,5538,4,0.348681834597328,"Control"
"34604",0.0293453724604966,13,1,7,14.5108110167432,1609,3,0.233685518955873,"Control"
"35910",0.115072933549433,71,1,2,25.3557888317535,1606,2,0.222914072229141,"Control"
"38542",0.170731707317073,105,3,1,21.4199042419575,2440,4,0.110245901639344,"Control"
"39715",0.058252427184466,30,1,3.5,43.7081924203699,1238,3,0.186591276252019,"Control"
"46756",0.189406099518459,118,3,2,19.7672570877604,6010,9,0.151913477537438,"Control"
"59418",0.0345821325648415,12,1,7.5,26.4207410107203,3022,3,0.362673726009265,"Control"
"62484",0.0574712643678161,35,2,5,17.0002228149391,4161,8,0.173035328046143,"Control"
"65661",0.066334991708126,40,1,3,13.5322174969245,2299,2,0.155719878207916,"Control"
"72232",0.118314424635332,73,2,2,24.1427261792074,6161,6,0.162798247037819,"Control"
"74872",0.0638655462184874,38,1,2,41.9803430947057,2266,5,0.188437775816417,"Control"
"78411",0.0854838709677419,53,1,3,31.7189496154252,3555,11,0.149367088607595,"Control"
"83785",0.205501618122977,127,3,1,19.3166383237103,4531,8,0.148090929154712,"Control"
"92309",0.154761904761905,13,2,3,8.14034099501682,1598,3,0.159574468085106,"Control"
"92931",0.289855072463768,180,4,1,15.7831881079847,7499,3,0.122683024403254,"Control"
"94280",0.127009646302251,79,2,2,25.7133562906386,4205,2,0.267776456599287,"Control"
"105325",0.0265339966832504,16,1,17,62.4385412111096,601,1,0.264559068219634,"Control"
"105778",0.0759493670886076,24,2,2,17.6065709890183,2602,5,0.175634127594158,"Control"
"108648",0.14975845410628,93,3,2,22.9217706603912,1413,1,0.312101910828025,"Control"
"108958",0.0780487804878049,48,1,4,32.0375157504282,2049,1,0.290385553928746,"Control"
"109803",0.0226537216828479,14,1,2.5,59.2273483103776,2572,3,0.277216174183515,"Control"
"111952",0.0308943089430894,19,1,6,33.4123084048555,942,2,0.196390658174098,"Control"
"112445",0.237560192616372,148,3,1,17.5545697533525,8878,10,0.199594503266501,"Control"
"113729",0.135179153094463,83,2,2,24.3553616679225,2536,2,0.235804416403785,"Control"
"117870",0.0711974110032362,44,1,2,38.4486096826308,3530,3,0.285835694050992,"Control"
"119083",0.12520325203252,77,2,2,24.4902481051592,1012,3,0.198616600790514,"Control"
"122684",0.0257936507936508,13,1,6,10.5554811267977,2376,3,0.247895622895623,"Control"
"123758",0.029038112522686,16,3,2,25.8171933510882,1038,2,0.220616570327553,"Control"
"126659",0.0611205432937182,36,2,3,39.1271181222055,2716,5,0.197717231222386,"Control"
"127015",0.107142857142857,12,1,5,11.282327290542,1420,3,0.154929577464789,"Control"
"130384",0.0615883306320908,38,1,4,35.6231153776077,3115,2,0.221508828250401,"Control"
"132681",0.0572916666666667,33,1,4,42.7777954661789,4014,2,0.309915296462382,"Control"
"135012",0.0530679933665008,32,1,4.5,15.4878150102945,2149,2,0.292694276407631,"Control"
"136611",0.0419463087248322,25,1,6,19.5439102248621,1732,2,0.245958429561201,"Control"
"137919",0.119281045751634,73,2,2,25.2214418057446,1147,5,0.147340889276373,"Control"
"139942",0.0842105263157895,48,2,2,33.0393485214923,3068,5,0.151238591916558,"Control"
"140932",0.029810298102981,11,1,4,27.757881763564,1047,2,0.184336198662846,"Control"
"144549",0.0528375733855186,27,1.5,6,48.4216893550814,545,1,0.297247706422018,"Control"
"146435",0.169628432956381,105,3,2,20.9716796155573,2811,3,0.232301672002846,"Control"
"147672",0.115577889447236,69,2,2,27.0135399991112,1535,3,0.141368078175896,"Control"
"149147",0.123993558776167,77,3,2,24.6428762799993,8278,17,0.175887895626963,"Control"
"149160",0.065252854812398,40,1,3.5,37.0792853182947,2314,3,0.194036300777874,"Control"
"153833",0.033500837520938,20,1,8,60.3518008785243,2038,5,0.123650637880275,"Control"
"154401",0.0225409836065574,11,1,18,83.3591626637408,767,2,0.221642764015645,"Control"
"155354",0.112280701754386,64,2,1,28.6223241632763,2029,2,0.152784622966979,"Control"
"155737",0.0649350649350649,40,1,2,45.0358242103374,2353,5,0.162345941351466,"Control"
"156461",0.098705501618123,61,2,2,27.9750243456913,3641,6,0.189508376819555,"Control"
"156624",0.0713073005093379,42,2,3,35.4339761622467,1351,3,0.167283493708364,"Control"
"156837",0.121112929623568,74,2,2,23.9429053203651,756,1,0.337301587301587,"Control"
"159947",0.0417362270450751,25,1,4,20.0590038726662,2664,2,0.290540540540541,"Control"
"160927",0.13102119460501,68,2,2,8.21983784911444,3441,2,0.143562917756466,"Control"
"163823",0.0386100386100386,20,1,6,50.2099188180226,2529,5,0.236852510873863,"Control"
"169070",0.151658767772512,32,2,2,13.9683205323555,970,1,0.280412371134021,"Control"
"170569",0.124087591240876,17,2,1.5,21.2790977252326,2901,7,0.209238193726301,"Control"
"170958",0.0366666666666667,22,1,6,25.6582294175203,2308,4,0.207105719237435,"Control"
"172517",0.11470113085622,71,2,2,24.7769934261515,1769,3,0.280384397964952,"Control"
"173325",0.0653266331658292,39,1,4,33.996731869075,3271,5,0.228370528890248,"Control"
"176044",0.0228013029315961,14,1,7.5,31.1228017356855,2974,6,0.232347007397445,"Control"
"177065",0.0755287009063444,25,2,3,26.4091402311214,824,1,0.226941747572816,"Control"
"179921",0.168141592920354,38,3,1,18.529823376232,1452,4,0.146005509641873,"Control"
"180390",0.0373983739837398,23,1,7,48.7416415300882,2453,4,0.224215246636771,"Control"
"180866",0.254428341384863,158,4,1,17.762940156707,1600,4,0.130625,"Control"
"189038",0.0364842454394693,22,1,4,50.1369440422403,1026,2,0.214424951267057,"Control"
"201709",0.0570175438596491,26,2,3,8.35262260298082,871,3,0.192881745120551,"Control"
"206393",0.132045088566828,82,2,2,24.3286438461416,2085,3,0.212470023980815,"Control"
"212007",0.0376940133037694,17,1,6,21.2091624405249,1548,2,0.239664082687338,"Control"
"214518",0.0202020202020202,12,1,9,27.3270317939338,1433,2,0.270062805303559,"Control"
"221259",0.061389337641357,38,1,3,39.0647407293837,1291,1,0.280402788536019,"Control"
"226680",0.0613598673300166,37,1,3,36.0183659967471,1509,4,0.161696487740225,"Control"
"227941",0.341894060995185,213,5,1,14.4455162817205,4394,7,0.080564406008193,"Control"
"229884",0.0415800415800416,20,1,6.5,7.16860438920219,670,1,0.276119402985075,"Control"
"233701",0.107491856677524,66,2,2,25.806202150732,2353,3,0.197620059498513,"Control"
"234861",0.0411392405063291,13,1,9,34.0713155815056,1680,4,0.145238095238095,"Control"
"237267",0.191935483870968,119,3,2,19.4669609851423,1176,1,0.230442176870748,"Control"
"241762",0.0445544554455446,27,1,7,45.2575223949934,1322,1,0.315431164901664,"Control"
"250072",0.0982142857142857,11,1,3.5,15.9961800995668,503,1,0.302186878727634,"Control"
"253472",0.0374149659863946,22,1.5,6,52.6006804038443,2339,2,0.268490808037623,"Control"
"254959",0.0545144804088586,32,1,2,17.0898908076117,1146,2,0.224258289703316,"Control"
"257482",0.031021897810219,17,2,4,24.393988330461,833,2,0.262905162064826,"Control"
"259033",0.225165562913907,136,4,1,18.6851305565818,2585,3,0.119535783365571,"Control"
"264956",0.0648298217179903,40,2,2.5,17.6152373262396,3136,4,0.149234693877551,"Control"
"269542",0.0376984126984127,19,1,4,11.2246446295116,1410,3,0.260283687943262,"Control"
"275478",0.286173633440514,178,4,1,16.1528253328564,4300,6,0.106511627906977,"Control"
"277626",0.20097244732577,124,3,1,19.738680281489,869,1,0.253164556962025,"Control"
"300402",0.032258064516129,20,1,6.5,24.2153330132207,748,2,0.24331550802139,"Control"
"306751",0.0548672566371681,31,1,2,21.2997606314171,5243,9,0.249666221628838,"Control"
"319933",0.0516528925619835,25,1,5,17.3688194569482,772,2,0.216321243523316,"Control"
"328452",0.105849582172702,38,1,2.5,19.8212648355886,2188,2,0.245886654478976,"Control"
"341892",0.0800681431005111,47,2,2,33.4959216573715,4037,5,0.272231855338122,"Control"
"343211",0.0532445923460899,32,2,4.5,15.5556472356357,1361,5,0.133725202057311,"Control"
"344690",0.109712230215827,61,2.5,1,32.6462004057919,559,1,0.273703041144902,"Control"
"344927",0.0573770491803279,35,2,3,37.4586135257664,6896,7,0.214327146171694,"Control"
"350029",0.261637239165329,163,4,1,16.6239883174177,790,1,0.234177215189873,"Control"
"353095",0.0676567656765677,41,1.5,3,32.8965376025322,5414,9,0.243812338381973,"Control"
"356524",0.039119804400978,16,2,3,4.98348922294057,609,2,0.249589490968801,"Control"
"357189",0.037037037037037,16,1,6,5.73451091067193,621,2,0.244766505636071,"Control"
"365508",0.179571663920923,109,2,1,20.5151818318379,2210,5,0.135294117647059,"Control"
"370501",0.22508038585209,140,4,1,18.0458294999149,1839,1,0.312126155519304,"Control"
"371408",0.352,44,3.5,1,4.03088848958935,840,2,0.216666666666667,"Control"
"371859",0.0463157894736842,22,1,4,59.2797782153675,2647,5,0.161692482055157,"Control"
"372867",0.0577557755775578,35,1,4,40.0921759918014,4590,9,0.177777777777778,"Control"
"382203",0.029038112522686,16,1,2.5,47.1621006345533,2605,4,0.233781190019194,"Control"
"382487",0.0176678445229682,10,1,22.5,32.1203095519686,1778,3,0.273903262092238,"Control"
"383991",0.0661290322580645,41,1,4,37.6639197402823,4904,7,0.253874388254486,"Control"
"390493",0.0182481751824818,10,1,4.5,28.1421772941815,951,2,0.262881177707676,"Control"
"393102",0.171799027552674,106,4,1,21.6478020554332,13074,19,0.203992657182194,"Control"
"398475",0.619047619047619,13,3.5,1,0.984731927834662,1537,3,0.237475601821731,"Control"
"398815",0.0536585365853659,11,1,6.5,32.8843089904255,786,1,0.244274809160305,"Control"
"398862",0.0670103092783505,13,1,2.5,36.6840523520739,472,1,0.305084745762712,"Control"
"408422",0.0977011494252874,17,2,2,22.0309441468131,967,1,0.259565667011375,"Control"
"408443",0.0338983050847458,20,1,5,56.6182318957996,1906,2,0.245540398740818,"Control"
"418173",0.0958904109589041,21,1.5,4,6.44953418690607,470,1,0.304255319148936,"Control"
"419068",0.221324717285945,137,3,1,18.2068545399475,7865,14,0.1361729179911,"Control"
"428858",0.0844594594594595,50,2,2,29.5474060135177,4576,4,0.298513986013986,"Control"
"428894",0.0979133226324237,61,2,1,29.2072843447662,994,1,0.24748490945674,"Control"
"430763",0.0627615062761506,30,1,4,37.1013911802944,1785,4,0.141176470588235,"Control"
"436585",0.0681818181818182,42,1,5,33.4265363645911,3246,3,0.278496611213802,"Control"
"437170",0.0522243713733075,27,1.5,2,11.4670542570153,1384,2,0.229046242774566,"Control"
"437507",0.0202020202020202,10,1,24.5,17.2621592756278,3204,4,0.303995006242197,"Control"
