"recorder","activity_ratio","active_days","median_weekly_devoted_days","periodicity","periodicity_variation","upper_area","upper_n_poly","ratio","status"
"281423",0.034965034965035,15,1,5,29.1475028617706,1966,3,0.208036622583927,"Control"
"494655",0.0246305418719212,10,1,8.5,84.1355199323432,1099,2,0.290263876251137,"Control"
"737697",0.0705128205128205,22,1,2.5,52.6902317922002,2056,4,0.221789883268482,"Control"
"754855",0.0240963855421687,10,1,2,93.4481330548052,690,2,0.231884057971014,"Control"
"945323",0.0512820512820513,22,2,2.5,58.1072284660007,1254,3,0.210526315789474,"Control"
"1198134",0.0831408775981524,36,2,2,43.1664791219541,2647,5,0.149225538345297,"Control"
"1369015",0.0960187353629977,41,3,1,40.6526878034039,2174,3,0.225850965961362,"Control"
"1417460",0.0412844036697248,18,1,3.5,25.5156814527851,595,1,0.282352941176471,"Control"
"2229703",0.0471698113207547,20,1,3,60.42615544148,1663,5,0.241130487071557,"Control"
"2229905",0.116883116883117,18,2,1,27.2157276833329,2737,5,0.254658385093168,"Control"
"281423",0.0470219435736677,15,1.5,3,66.5357047005591,697,2,0.228120516499283,"Lockdown"
"494655",0.0321100917431193,14,2.5,3,68.5152051250913,4136,7,0.219294003868472,"Lockdown"
"737697",0.022883295194508,10,1,6.5,82.6057763459329,1076,1,0.349442379182156,"Lockdown"
"754855",0.52,13,3,1.5,1.47709789175199,477,1,0.306079664570231,"Lockdown"
"945323",0.080091533180778,35,3,1,20.0170855051681,1596,3,0.238721804511278,"Lockdown"
"1198134",0.0762124711316397,33,2.5,2,47.766929667841,1628,1,0.211916461916462,"Lockdown"
"1369015",0.0923076923076923,30,2,2,44.2914828125617,1683,1,0.342840166369578,"Lockdown"
"1417460",0.146788990825688,64,4,1,32.3580739501292,496,1,0.300403225806452,"Lockdown"
"2229703",0.142528735632184,62,3.5,1,32.8455510836506,1231,2,0.285134037367993,"Lockdown"
"2229905",0.100917431192661,44,2,1,40.4821765745008,1340,3,0.187313432835821,"Lockdown"
