"recorder","activity_ratio","active_days","median_weekly_devoted_days","periodicity","periodicity_variation","upper_area","upper_n_poly","ratio","status"
"76575",0.266666666666667,12,2,3,3.3466401061363,910,1,0.216483516483516,"Control"
"419170",0.26,13,1,3.5,3.20392751402892,1035,2,0.257971014492754,"Control"
"419580",0.6,33,4,1,1.14828062210279,500,1,0.3,"Control"
"667286",0.44,11,2,1.5,2.50333111406914,479,1,0.304801670146138,"Control"
"942797",0.452830188679245,24,4,1,1.78929623809697,723,2,0.225449515905947,"Control"
"973950",0.365384615384615,19,3,2,1.97781816805346,759,1,0.347826086956522,"Control"
"2305729",0.482142857142857,27,3.5,1,1.88312342828447,910,1,0.245054945054945,"Control"
"76575",0.346153846153846,18,2,2,3.10241841149771,1162,1,0.271084337349398,"Lockdown"
"419170",0.519230769230769,27,3.5,1,1.45549357211275,601,2,0.252911813643927,"Lockdown"
"419580",0.446428571428571,25,3,1,2.21612993392941,496,1,0.306451612903226,"Lockdown"
"667286",0.357142857142857,20,2.5,2,3.05313567122403,473,1,0.304439746300211,"Lockdown"
"942797",0.464285714285714,26,4,2,1.60727512683216,866,2,0.232101616628176,"Lockdown"
"973950",0.22,11,1.5,4,4.17532433869913,609,1,0.261083743842365,"Lockdown"
"2305729",0.763636363636364,42,5,1,0.686987059202861,495,1,0.303030303030303,"Lockdown"
