"recorder","activity_ratio","active_days","median_weekly_devoted_days","periodicity","periodicity_variation","upper_area","upper_n_poly","ratio","status"
"18823",0.130434782608696,15,1,6,7.58710106457681,1858,3,0.286329386437029,"Control"
"25160",0.241071428571429,27,2,2,6.07096917029453,2257,6,0.192290651307045,"Control"
"157497",0.296296296296296,16,2,3,2.37662610613274,1663,3,0.23331328923632,"Control"
"699971",0.489130434782609,45,4,1,3.69939086901775,1110,3,0.182882882882883,"Control"
"747907",0.135593220338983,16,1,4.5,3.73062761711517,514,1,0.305447470817121,"Control"
"1497036",0.142857142857143,17,2.5,2,6.59870117090152,495,1,0.305050505050505,"Control"
"1801353",0.185567010309278,18,3,2,6.32455532033676,527,1,0.301707779886148,"Control"
"2243582",0.273684210526316,26,2,2,5.5220244134908,1973,5,0.167764825139382,"Control"
"2547689",0.145299145299145,17,1.5,4,13.6311967123039,853,2,0.212192262602579,"Control"
"18823",0.336206896551724,39,2,2,4.82439372095342,1930,2,0.183937823834197,"Lockdown"
"25160",0.525862068965517,61,5,1,3.93421948960681,2291,3,0.159755565255347,"Lockdown"
"157497",0.111111111111111,10,1.5,4,4.42194204265178,858,2,0.236596736596737,"Lockdown"
"699971",0.638655462184874,76,5,1,2.72485644591968,529,1,0.283553875236295,"Lockdown"
"747907",0.181034482758621,21,1,3,7.90402961852537,657,1,0.292237442922374,"Lockdown"
"1497036",0.228813559322034,27,2,2,6.43635507617989,485,1,0.305154639175258,"Lockdown"
"1801353",0.228070175438596,26,2,2,7.07093971165057,610,1,0.268852459016393,"Lockdown"
"2243582",0.5,59,4,1,3.15374623078975,3456,4,0.206597222222222,"Lockdown"
"2547689",0.162393162393162,19,2,2,7.88194138521722,914,1,0.317286652078775,"Lockdown"
