"recorder","activity_ratio","active_days","median_weekly_devoted_days","periodicity","periodicity_variation","upper_area","upper_n_poly","ratio","status"
"26121",0.854368932038835,88,7,1,1.13308486670522,1371,3,0.188183807439825,"Control"
"743105",0.291139240506329,23,2,2,4.14874935518178,473,1,0.304439746300211,"Control"
"1112044",0.507936507936508,32,3,2,1.43759057685652,610,1,0.326229508196721,"Control"
"1427739",0.529411764705882,18,2,1,2.19290299133632,480,1,0.30625,"Control"
"1604794",0.193548387096774,18,2,2,9.65051050158366,1939,5,0.135121196493038,"Control"
"2141847",0.362745098039216,37,2,2,2.88661387832521,546,1,0.298534798534799,"Control"
"26121",0.378640776699029,39,3,1,2.93262416532043,655,2,0.235114503816794,"Lockdown"
"743105",0.130952380952381,11,1,8,6.07453701939498,479,1,0.304801670146138,"Lockdown"
"1112044",0.24,24,2,2,5.02208560993516,1093,3,0.178408051235133,"Lockdown"
"1427739",0.202127659574468,19,1.5,5,3.80788655293195,1324,1,0.330060422960725,"Lockdown"
"1604794",0.263736263736264,24,3,2,7.5913410210597,1713,4,0.138937536485698,"Lockdown"
"2141847",0.19047619047619,16,1,2,5.56605357330958,1197,3,0.216374269005848,"Lockdown"
