"recorder","activity_ratio","active_days","median_weekly_devoted_days","periodicity","periodicity_variation","upper_area","upper_n_poly","ratio","status"
"301392",0.6,21,4,1,0.978720969859186,1045,1,0.258373205741627,"Control"
"742419",0.303030303030303,10,1,3,2.40370085030933,3342,2,0.314781567923399,"Control"
"2254300",0.416666666666667,15,2,1.5,2.2446517632946,472,1,0.305084745762712,"Control"
"2439276",0.702702702702703,26,4.5,1,1.00332779621949,521,1,0.289827255278311,"Control"
"2502819",0.485714285714286,17,3,1.5,1.70782512765993,1454,1,0.313617606602476,"Control"
"2738825",0.32258064516129,10,3,1,6.26498204307083,663,1,0.295625942684766,"Control"
"4036665",0.459459459459459,17,3,1,3.37638860322683,505,1,0.306930693069307,"Control"
"301392",0.605263157894737,23,4,1,0.893700900022652,1281,4,0.177985948477752,"Lockdown"
"742419",0.4,14,3,2,1.26085034391223,5655,5,0.284703801945181,"Lockdown"
"2254300",0.315789473684211,12,2,1,4.03169262897675,685,1,0.274452554744526,"Lockdown"
"2439276",0.576923076923077,15,2,1,1.25137287246211,610,1,0.267213114754098,"Lockdown"
"2502819",0.315789473684211,12,1,3,2.01359019031814,1740,1,0.336781609195402,"Lockdown"
"2738825",0.526315789473684,20,2,2,1.31122013621437,1521,3,0.266929651545036,"Lockdown"
"4036665",0.552631578947368,21,3,1,1.38696943388321,960,3,0.179166666666667,"Lockdown"
