"recorder","activity_ratio","active_days","median_weekly_devoted_days","periodicity","periodicity_variation","upper_area","upper_n_poly","ratio","status"
"3042",0.197771587743733,71,6,1,0.862696658331696,4670,7,0.236188436830835,"Control"
"29729",0.0588235294117647,21,2,2,6.42364054837573,4012,6,0.177716849451645,"Control"
"205071",0.0994318181818182,35,2,1,1.95450140894699,4010,9,0.211221945137157,"Control"
"281244",0.0812324929971989,29,2,1,3.56622331296691,6975,7,0.191541218637993,"Control"
"291972",0.0584615384615385,19,5,1,0.943242218283799,1214,2,0.186161449752883,"Control"
"691165",0.113960113960114,40,3,1,2.06525824230213,5913,12,0.210722137662777,"Control"
"727794",0.0466472303206997,16,1,5,4.21405288982492,1365,1,0.251282051282051,"Control"
"898963",0.0403726708074534,13,1,2,3.17375601972289,1328,1,0.29066265060241,"Control"
"988151",0.0472222222222222,17,1,2,6.9576952943862,862,1,0.336426914153132,"Control"
"990762",0.106145251396648,38,2,1,2.36021925266169,1144,3,0.16958041958042,"Control"
"1032079",0.119444444444444,43,3,1,2.3710654186488,1056,1,0.345643939393939,"Control"
"1093305",0.0395480225988701,14,2,2,4.40041320373853,841,1,0.293697978596908,"Control"
"1268928",0.431372549019608,22,3,2,1.71686314178476,589,1,0.256366723259762,"Control"
"1360566",0.171745152354571,62,5,1,0.960225962107401,2131,2,0.251525105584233,"Control"
"1370558",0.0668523676880223,24,2,1,3.12648233241318,3128,5,0.256074168797954,"Control"
"1383198",0.0909090909090909,32,2,2,2.04011493929074,2828,3,0.250707213578501,"Control"
"1462872",0.167597765363128,60,4,1,1.15010717825605,14463,13,0.248357878725022,"Control"
"1494293",0.034375,11,1.5,1,3.65528536657688,818,1,0.268948655256724,"Control"
"1512184",0.0343839541547278,12,2,1,4.98442017133833,900,1,0.244444444444444,"Control"
"1531239",0.0833333333333333,30,2,3,2.30481437694434,813,1,0.268142681426814,"Control"
"1590267",0.0591549295774648,21,2,2,2.9498736220328,1335,1,0.280149812734082,"Control"
"1706425",0.0526315789473684,18,2,2,5.1700257897487,956,1,0.2918410041841,"Control"
"1808155",0.0538243626062323,19,2,2,4.26424946847763,624,1,0.267628205128205,"Control"
"1826675",0.0314465408805031,10,1,5.5,5.95069023607466,971,2,0.247167868177137,"Control"
"1857926",0.0782122905027933,28,2,2,3.75315252103533,1767,1,0.256366723259762,"Control"
"1997051",0.105555555555556,38,3,1.5,3.21603127205833,744,2,0.23252688172043,"Control"
"2177480",0.24,12,2,4,3.93353877224151,470,1,0.306382978723404,"Control"
"2242992",0.0863095238095238,29,2,2,2.33394375409808,2767,2,0.2544271774485,"Control"
"2292051",0.0598802395209581,20,2,3,1.68033610083361,1828,2,0.305798687089716,"Control"
"2326095",0.5625,27,4,1,1.49717683041732,1062,1,0.270244821092279,"Control"
"2391245",0.421052631578947,16,2,2,1.4573295865416,1250,1,0.3216,"Control"
"2460994",0.0280898876404494,10,1,7.5,8.94027803977994,769,1,0.263979193758127,"Control"
"2475170",0.277777777777778,10,2,2,5.13430726691645,666,1,0.28978978978979,"Control"
"2524708",0.471698113207547,25,3,2,1.20385853085769,1361,2,0.255694342395298,"Control"
"2566487",0.5,12,3,1,1.44599761096244,962,1,0.353430353430353,"Control"
"3043180",0.127423822714681,46,3,1,1.51577330440914,1280,3,0.16171875,"Control"
"3198989",0.0393258426966292,14,1,5.5,5.48482755730144,2537,2,0.325581395348837,"Control"
"3042",0.213296398891967,77,7,1,1.58517910432632,1925,5,0.205714285714286,"Lockdown"
"29729",0.030812324929972,11,1,4,5.51009175160551,478,1,0.303347280334728,"Lockdown"
"205071",0.109550561797753,39,2,1,2.36338434994937,2086,2,0.235378715244487,"Lockdown"
"281244",0.105263157894737,38,3.5,1,2.52275359761625,558,1,0.28673835125448,"Lockdown"
"291972",0.0941828254847645,34,2.5,2,2.01206041081628,1042,2,0.182341650671785,"Lockdown"
"691165",0.0888888888888889,32,2,2,2,1172,3,0.186006825938567,"Lockdown"
"727794",0.056980056980057,20,2,3,3.76473141331212,517,1,0.295938104448743,"Lockdown"
"898963",0.18005540166205,65,4,1,0.947414083693367,1039,2,0.203079884504331,"Lockdown"
"988151",0.0644257703081232,23,2.5,2,3.87175363246116,676,1,0.270710059171598,"Lockdown"
