"recorder","activity_ratio","active_days","median_weekly_devoted_days","periodicity","periodicity_variation","upper_area","upper_n_poly","ratio","status"
"105240",0.404255319148936,19,2,2,1.75640750404382,829,1,0.25211097708082,"Control"
"739114",0.530612244897959,26,3,1,2.08006410157636,1271,1,0.25177025963808,"Control"
"1078088",0.5,23,3,1.5,1.6468519095903,493,1,0.294117647058824,"Control"
"1305640",0.282051282051282,11,1,3,2.04396129556745,719,1,0.301808066759388,"Control"
"1371261",0.3125,15,2,2,2.84489131486716,489,1,0.304703476482618,"Control"
"1420315",0.541666666666667,26,2.5,1,1.20138808606267,1051,2,0.252140818268316,"Control"
"1493947",0.466666666666667,21,3,2,1.82381901225798,2823,6,0.137796670208998,"Control"
"1725290",0.272727272727273,12,1.5,2,3.59039121697192,488,1,0.299180327868852,"Control"
"1775236",0.238095238095238,10,1.5,3,3.35824027993498,475,1,0.305263157894737,"Control"
"1882525",0.708333333333333,17,3,1,0.629152869605896,3404,4,0.294653349001175,"Control"
"2256857",0.295454545454545,13,2,1.5,3.31548250522066,1065,1,0.255399061032864,"Control"
"2456798",0.565217391304348,26,4,1,1.29099444873581,547,1,0.288848263254113,"Control"
"2496990",0.468085106382979,22,3,2,1.36451631060415,1441,1,0.346287300485774,"Control"
"2571523",0.645833333333333,31,4,1,1.25074690329097,773,1,0.304010349288486,"Control"
"2788085",0.468085106382979,22,2.5,2,1.20909253653505,821,1,0.277710109622412,"Control"
"3019050",0.435897435897436,17,4,1,4.45533388198909,480,1,0.304166666666667,"Control"
"4217635",0.30952380952381,13,2,3,1.88092498199125,875,2,0.241142857142857,"Control"
"105240",0.361702127659574,17,3,2,2.60448331408234,1283,2,0.265003897116134,"Lockdown"
"739114",0.416666666666667,20,3,2,2.54664094778967,1331,1,0.33809166040571,"Lockdown"
"1078088",0.666666666666667,32,4,1,0.851311448763435,1151,1,0.194613379669852,"Lockdown"
"1305640",0.40625,13,2,1.5,2.10878393795327,731,1,0.321477428180575,"Lockdown"
"1371261",0.6875,33,3.5,1,0.76133901566529,732,1,0.307377049180328,"Lockdown"
"1420315",0.448979591836735,22,3,2,1.30930734141595,1922,3,0.167533818938606,"Lockdown"
"1493947",0.536585365853659,22,4,1,1.86828161433875,7247,9,0.273216503380709,"Lockdown"
"1725290",0.390243902439024,16,1,2,1.91485421551268,2218,3,0.255184851217313,"Lockdown"
"1775236",0.530612244897959,26,3.5,1,1.32035348802256,2801,5,0.225276686897537,"Lockdown"
"1882525",0.425531914893617,20,2.5,2,1.42656500703552,4511,8,0.193748614497894,"Lockdown"
"2256857",0.488888888888889,22,2.5,2,1.64026710949046,550,1,0.309090909090909,"Lockdown"
"2456798",0.510204081632653,25,3.5,2,1.14208048144032,1591,2,0.255813953488372,"Lockdown"
"2496990",0.340909090909091,15,2.5,1,5.34162587916517,1784,3,0.256726457399103,"Lockdown"
"2571523",0.551020408163265,27,3.5,2,0.967152839723182,2108,3,0.213472485768501,"Lockdown"
"2788085",0.522727272727273,23,3,1,1.58796883522474,2142,2,0.201680672268908,"Lockdown"
"3019050",0.469387755102041,23,2.5,2,1.59273241217618,761,1,0.26149802890933,"Lockdown"
"4217635",0.510204081632653,25,3,1,2.41372884900557,1392,1,0.208333333333333,"Lockdown"
