"recorder","activity_ratio","active_days","median_weekly_devoted_days","periodicity","periodicity_variation","upper_area","upper_n_poly","ratio","status"
"1529139",0.225,9,1.5,NA,NA,682,1,0.32258064516129,"Control"
"3494281",0.8,4,4,NA,NA,2688,5,0.302827380952381,"Control"
"14777",0.333333333333333,5,1,NA,NA,519,1,0.290944123314065,"Control"
"1280759",0.333333333333333,17,2,1.5,3.30403793359983,2293,3,0.198866114260794,"Control"
"3149018",0.222222222222222,4,1,NA,NA,695,1,0.309352517985612,"Control"
"3771288",0.547169811320755,29,3,1,1.53271208946963,3361,2,0.214519488247545,"Control"
"1508544",0.388888888888889,7,1,NA,NA,544,1,0.294117647058824,"Control"
"968959",0.392156862745098,20,2.5,2,2.00583942848512,4149,8,0.229693902145095,"Control"
"1382897",0.317073170731707,13,2,3,1.55699788832305,1634,1,0.330477356181151,"Control"
"1648271",0.258064516129032,8,2,NA,NA,770,2,0.220779220779221,"Control"
"2989",0.243243243243243,9,2,NA,NA,478,1,0.305439330543933,"Control"
"17565",0.26,13,1,2.5,3.75277674973257,2626,4,0.251332825590251,"Control"
"1972804",0.181818181818182,8,1,NA,NA,906,1,0.259381898454746,"Control"
"145644",0.25,12,2,5,3.34935543324112,1534,2,0.221642764015645,"Control"
"1654232",0.424242424242424,14,3,1,2.93301280300037,563,1,0.27886323268206,"Control"
"378461",0.282608695652174,13,2,2,4.65393284320809,3267,4,0.267523722069177,"Control"
"1711538",0.136363636363636,6,1.5,NA,NA,1340,2,0.288059701492537,"Control"
"1880739",0.228571428571429,8,2,NA,NA,5233,6,0.308045098413912,"Control"
"245533",0.415094339622642,22,2,2,1.60059512741504,2311,4,0.211596711380355,"Control"
"1412226",0.384615384615385,20,2,1,2.58312110050672,2786,4,0.196697774587222,"Control"
"3462",0.28125,9,1,NA,NA,2053,4,0.256210423770093,"Control"
"1941562",0.470588235294118,16,3,2,1.14642300844222,2062,2,0.231813773035887,"Control"
"1330319",0.547169811320755,29,3.5,1,2.22301573134311,2762,6,0.216871832005793,"Control"
"2489070",0.510204081632653,25,3,1,1.50361882311222,993,2,0.211480362537764,"Control"
"169494",0.272727272727273,12,2,2,4.30010570694595,2809,4,0.266642933428266,"Control"
"2052606",0.421052631578947,16,2,1,2.32583830253176,655,1,0.258015267175572,"Control"
"1437864",0.84,42,5.5,1,0.459320813545497,656,2,0.236280487804878,"Control"
"1641897",0.434782608695652,20,3,1,2.16565428439817,2900,7,0.217931034482759,"Control"
"548902",0.254901960784314,13,2,4,3.6139460511477,1042,1,0.240882917466411,"Control"
"1474212",0.16,8,1,NA,NA,3396,8,0.237043580683157,"Control"
"2527017",0.166666666666667,8,1,NA,NA,1234,3,0.217179902755267,"Control"
"910728",0.235294117647059,4,1,NA,NA,926,2,0.294816414686825,"Control"
"688548",0.5,19,3,1,2.1549456720932,3507,6,0.249500998003992,"Control"
"1164493",0.627450980392157,32,4,1,1.05443252841955,3980,6,0.212562814070352,"Control"
"330624",0.4,18,2,2,1.80481382451944,911,1,0.207464324917673,"Control"
"3475604",0.225806451612903,7,1,NA,NA,1122,2,0.219251336898396,"Control"
"4303576",0.108695652173913,5,1,NA,NA,1291,2,0.326878388845856,"Control"
"39349",0.450980392156863,23,3,2,1.38639024883974,3754,8,0.22562599893447,"Control"
"678636",0.697674418604651,30,5,1,0.909717652294684,2306,3,0.249349522983521,"Control"
"1168016",0.411764705882353,21,2.5,1,1.96012888942485,589,1,0.266553480475382,"Control"
"4015844",0.448979591836735,22,3,2,1.30930734141595,471,1,0.305732484076433,"Control"
"1978464",0.358974358974359,14,2,2,2.39657875806111,2542,5,0.180173092053501,"Control"
"3910284",0.238095238095238,5,1,NA,NA,805,1,0.33416149068323,"Control"
"2433428",0.282051282051282,11,1.5,2,4.02216083439956,958,3,0.221294363256785,"Control"
"1936760",0.294117647058824,15,1.5,1.5,3.52385902351136,4332,6,0.237996306555863,"Control"
"2568932",0.884615384615385,46,6,1,0.404519917477945,476,1,0.304621848739496,"Control"
"762037",0.157894736842105,3,1,NA,NA,1229,2,0.305126118795769,"Control"
"2297663",0.222222222222222,8,1,NA,NA,1580,3,0.264556962025316,"Control"
"171012",0.886792452830189,47,6,1,0.340502612303499,1099,1,0.329390354868062,"Control"
"1342851",0.450980392156863,23,3,2,1.57908406790345,1324,4,0.175981873111782,"Control"
"1529139",0.25,7,2,NA,NA,470,1,0.306382978723404,"Lockdown"
"3494281",0.470588235294118,8,3,NA,NA,486,1,0.304526748971193,"Lockdown"
"14777",1,2,2,NA,NA,470,1,0.306382978723404,"Lockdown"
"1280759",0.285714285714286,6,2,NA,NA,882,1,0.326530612244898,"Lockdown"
"3149018",0.27027027027027,10,2,4,3.53553390593274,876,1,0.313926940639269,"Lockdown"
"3771288",0.25,8,1,NA,NA,1306,2,0.314701378254211,"Lockdown"
"1508544",0.25,12,2,1,5.40538452084418,697,2,0.230989956958393,"Lockdown"
"968959",0.388888888888889,7,3,NA,NA,472,1,0.305084745762712,"Lockdown"
"1382897",0.224489795918367,11,1,2,6.1427463998877,546,1,0.282051282051282,"Lockdown"
"1648271",0.292682926829268,12,2,3,2.90767010758536,472,1,0.305084745762712,"Lockdown"
"2989",0.159090909090909,7,1.5,NA,NA,478,1,0.305439330543933,"Lockdown"
"17565",0.302325581395349,13,2,2,3,870,2,0.191954022988506,"Lockdown"
"1972804",0.288888888888889,13,2,2,3.79792606882262,689,1,0.339622641509434,"Lockdown"
"145644",0.448275862068966,13,2.5,1,2.99494523651051,513,1,0.294346978557505,"Lockdown"
"1654232",0.6875,11,3,1,0.707106781186548,531,1,0.286252354048964,"Lockdown"
"378461",0.209302325581395,9,1,NA,NA,990,2,0.242424242424242,"Lockdown"
"1711538",0.303030303030303,10,1,3,3.08670986290869,473,1,0.304439746300211,"Lockdown"
"1880739",0.411764705882353,7,2,NA,NA,476,1,0.304621848739496,"Lockdown"
