"recorder","activity_ratio","active_days","median_weekly_devoted_days","periodicity","periodicity_variation","upper_area","upper_n_poly","ratio","status"
1137074,0.0474934036939314,18,1,2,9.63241056710797,471,1,0.305732484076433,"Control"
1183212,0.032967032967033,9,1,NA,NA,760,2,0.232894736842105,"Control"
1493776,0.0431266846361186,16,1.5,3,11.8657786637331,531,1,0.308851224105461,"Control"
1557280,0.533333333333333,8,3,NA,NA,723,1,0.340248962655602,"Control"
1575352,0.0188172043010753,7,1,NA,NA,843,2,0.226571767497034,"Control"
1619957,0.0208333333333333,6,2,NA,NA,1228,2,0.23371335504886,"Control"
1622581,0.382352941176471,13,3,1.5,3.01887998496733,1624,4,0.230295566502463,"Control"
1646180,0.00857142857142857,3,1,NA,NA,470,1,0.304255319148936,"Control"
1646806,0.333333333333333,6,2,NA,NA,1833,3,0.313147845062739,"Control"
1669840,0.0456852791878173,9,1,NA,NA,1564,2,0.29156010230179,"Control"
2175246,0.375,3,1.5,NA,NA,471,1,0.305732484076433,"Control"
2603049,0.206896551724138,6,1.5,NA,NA,471,1,0.305732484076433,"Control"
1058078,0.339622641509434,18,2,2,2.33105631193495,543,1,0.305709023941068,"Control"
1140299,0.0257142857142857,9,1.5,NA,NA,1765,3,0.254957507082153,"Control"
1620671,0.277777777777778,10,2,2,3.82244831372657,1324,3,0.255287009063444,"Control"
1621963,0.028169014084507,10,1,4,7.12640963499252,495,1,0.305050505050505,"Control"
1631408,0.269230769230769,7,1,NA,NA,504,1,0.305555555555556,"Control"
1632336,0.0527777777777778,19,1.5,4,2.23771154110097,1746,4,0.236540664375716,"Control"
1642149,0.205882352941176,7,1,NA,NA,1151,3,0.158123370981755,"Control"
1659769,0.0575757575757576,19,1.5,2,9.24304189806645,513,1,0.302144249512671,"Control"
1676725,0.0571428571428571,20,2,1,7.46079075519549,475,1,0.305263157894737,"Control"
1680656,0.0286532951289398,10,1,3.5,15.9323345971105,2221,4,0.258892390814948,"Control"
1688560,0.2,2,1,NA,NA,503,1,0.306163021868787,"Control"
1693183,0.0254237288135593,9,1,NA,NA,1000,2,0.277,"Control"
1696263,0.0168918918918919,5,1,NA,NA,472,1,0.305084745762712,"Control"
1716210,0.036036036036036,12,1,3,1.85292561462497,882,2,0.201814058956916,"Control"
1744163,0.0119760479041916,4,1,NA,NA,471,1,0.305732484076433,"Control"
2000787,0.2,4,1,NA,NA,575,1,0.318260869565217,"Control"
2085267,0.161290322580645,25,2,3,3.81333213558491,635,1,0.247244094488189,"Control"
