gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue	date.cl	vaccines	tests	confirmed	recovered	deaths	hosp	vent	icu	population	school_closing	workplace_closing	cancel_events	gatherings_restrictions	transport_closing	stay_home_restrictions	internal_movement_restrictions	international_movement_restrictions	information_campaigns	testing_policy	contact_tracing	stringency_index	iso_alpha_3	iso_alpha_2	iso_numeric	currency	administrative_area_level	administrative_area_level_1	administrative_area_level_2	administrative_area_level_3	latitude	longitude	key	key_alpha_2	key_numeric	key_local	key_google_mobility	key_apple_mobility	key_jhu_csse
3355819451	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/94188958	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Rhodometra	Rhodometra sacraria		SPECIES	Rhodometra sacraria (Linnaeus, 1767)	Rhodometra sacraria		ES		Cataluña	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.791417	1.635437	3						2021-09-08T10:31:34Z	8	9	2021	1955694	1955694	HUMAN_OBSERVATION	iNaturalist	Observations	94188958		peresol	2021-09-09T07:15:04Z	CC0_1_0	peresol	peresol			2021-11-06T01:16:03.482Z	StillImage	COORDINATE_ROUNDED	2021-09-09			909266						7566431	1	1						2	2	3	1	47.69	ESP	ES	724	EUR	2	Spain	Cataluña		41.692222595	1.58426121434448				09	Catalonia		ESCT
3070769736	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/72147521	Animalia	Chordata	Aves	Passeriformes	Sittidae	Sitta	Sitta europaea		SPECIES	Sitta europaea Linnaeus, 1758	Sitta europaea		ES		Castilla-La Mancha	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.727809	-2.951741	1						2020-11-22T15:24:00Z	22	11	2020	2484916	2484916	HUMAN_OBSERVATION	iNaturalist	Observations	72147521		solrac82	2021-03-27T07:08:46Z	CC_BY_NC_4_0	solrac82	solrac82			2021-11-06T01:09:41.503Z	StillImage	COORDINATE_ROUNDED	2021-03-27			176650						2034877	1		2	4		2	2	3	2	2	1	69.44	ESP	ES	724	EUR	2	Spain	Castilla-La Mancha		39.67591095	-3.2724759911364				08	Castile-La Mancha		ESCM
3355600630	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/93359060	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Cacyreus	Cacyreus marshalli		SPECIES	Cacyreus marshalli Butler, 1898	Cacyreus marshalli		ES		Andalucía	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.187708	-3.603324	28447						2021-09-02T15:15:41Z	2	9	2021	1932752	1932752	HUMAN_OBSERVATION	iNaturalist	Observations	93359060		Inma Torres	2021-09-02T13:40:02Z	CC_BY_NC_4_0	Inma Torres	Inma Torres			2021-11-06T01:48:34.983Z	StillImage;StillImage	COORDINATE_ROUNDED	2021-09-02			791203						8427405	1	1						2	2	3	1	47.69	ESP	ES	724	EUR	2	Spain	Andalucía		37.364515305	-4.54243389082257				01	Andalusia		ESAN
2901528758	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/62811230	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Pararge	Pararge aegeria		SPECIES	Pararge aegeria (Linnaeus, 1758)	Pararge aegeria		ES		Comunidad de Madrid	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.752677	-3.78751							2018-10-20T00:00:00Z	20	10	2018	8049830	8049830	HUMAN_OBSERVATION	iNaturalist	Observations	62811230		Ángel Fernández Cancio	2020-10-17T18:24:42Z	CC_BY_NC_4_0	Ángel Fernández Cancio	Ángel Fernández Cancio			2021-11-06T01:47:20.414Z		COORDINATE_ROUNDED	2020-10-17			286419						6641649		2						3	2	2	1	64.35	ESP	ES	724	EUR	2	Spain	Comunidad de Madrid		40.52218628	-3.7688478017641				13	Community of Madrid		ESM
3385065485	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/95461830	Animalia	Mollusca	Gastropoda	Nudibranchia	Discodorididae	Peltodoris	Peltodoris atromaculata		SPECIES	Peltodoris atromaculata Bergh, 1880	Peltodoris atromaculata		ES		Andalucía	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.003296	-5.605684	13						2021-09-19T00:00:00Z	19	9	2021	5859647	5859647	HUMAN_OBSERVATION	iNaturalist	Observations	95461830		whodden	2021-09-19T21:52:36Z	CC_BY_NC_4_0	whodden	whodden			2021-11-06T01:14:56.530Z	StillImage		2021-09-19			799263						8427405	1	1						2	2	3	1	42.13	ESP	ES	724	EUR	2	Spain	Andalucía		37.364515305	-4.54243389082257				01	Andalusia		ESAN
3044755654	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/58695758	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Araneus	Araneus diadematus		SPECIES	Araneus diadematus Clerck, 1757	Araneus diadematus		ES		Cataluña	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.335826	2.396637	2104						2020-09-06T11:26:04Z	6	9	2020	2160133	2160133	HUMAN_OBSERVATION	iNaturalist	Observations	58695758		miquelcarandellbaruzzi	2020-09-06T09:27:16Z	CC_BY_NC_4_0	miquelcarandellbaruzzi	miquelcarandellbaruzzi			2021-11-06T01:47:14.280Z	StillImage	COORDINATE_ROUNDED	2020-09-06			119006						7566431	2	2						3	2	2	1	62.5	ESP	ES	724	EUR	2	Spain	Cataluña		41.692222595	1.58426121434448				09	Catalonia		ESCT
2576437221	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39220783	Animalia	Chordata	Aves	Passeriformes	Fringillidae	Linaria	Linaria cannabina		SPECIES	Linaria cannabina (Linnaeus, 1758)	Linaria cannabina		ES		Aragón	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.613471	-0.835787	8						2019-07-19T08:14:00Z	19	7	2019	8104397	8104397	HUMAN_OBSERVATION	iNaturalist	Observations	39220783		Stephen Moores	2020-02-25T22:07:46Z	CC_BY_NC_4_0	Stephen Moores	Stephen Moores			2021-11-06T01:07:09.433Z	StillImage	COORDINATE_ROUNDED	2020-02-25			1						1320586								0	2	1	1	11.11	ESP	ES	724	EUR	2	Spain	Aragón		41.38541603	-0.839715375341938				02	Aragon		ESAR
3118500377	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/79260848	Animalia	Arthropoda	Insecta	Coleoptera	Coccinellidae	Hippodamia	Hippodamia variegata		SPECIES	Hippodamia variegata (Goeze, 1777)	Hippodamia variegata		ES		Cataluña	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.254928	3.035867	4						2021-05-18T08:44:55Z	18	5	2021	1043082	1043082	HUMAN_OBSERVATION	iNaturalist	Observations	79260848		Jofre	2021-05-18T11:51:28Z	CC_BY_NC_4_0	Jofre	Jofre			2021-11-06T01:10:53.641Z	StillImage	COORDINATE_ROUNDED	2021-05-18			620652						7566431	1		2					3	2	2	1	63.43	ESP	ES	724	EUR	2	Spain	Cataluña		41.692222595	1.58426121434448				09	Catalonia		ESCT
3327785249	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/86766597	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Lactuca	Lactuca serriola		SPECIES	Lactuca serriola L.	Lactuca serriola		ES		Comunidad Foral de Navarra	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.054839	-1.70563							2021-07-11T09:32:00Z	11	7	2021	3140490	3140490	HUMAN_OBSERVATION	iNaturalist	Observations	86766597		Víctor Huete	2021-07-12T20:27:46Z	CC_BY_NC_4_0	Víctor Huete	Víctor Huete			2021-11-06T01:12:46.556Z	StillImage;StillImage;StillImage	COORDINATE_ROUNDED	2021-07-12			68015						649946	1	1				1		3	2	2	1	48.61	ESP	ES	724	EUR	2	Spain	Comunidad Foral de Navarra		42.61185074	-1.83932841968019				15	Navarre		ESNC
2580233276	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39857534	Animalia	Arthropoda	Insecta	Orthoptera	Acrididae	Aiolopus	Aiolopus strepens		SPECIES	Aiolopus strepens (Latreille, 1804)	Aiolopus strepens		ES		Islas Canarias	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	28.523304	-16.279134							2020-03-03T13:17:00Z	3	3	2020	1713302	1713302	HUMAN_OBSERVATION	iNaturalist	Observations	39857534		Axel Hochkirch	2020-03-21T13:33:42Z	CC_BY_NC_4_0	Fero Bednar	Fero Bednar			2021-11-06T00:22:15.837Z		COORDINATE_ROUNDED	2020-03-21																																						
